id,web_name,team_name,position,price,ep_total,exp_minutes
1,Raya,Arsenal,GK,6.0,22.45,393.14429999999993
2,Arrizabalaga,Arsenal,GK,4.1,22.45,357.30719999999997
3,Hein,Arsenal,GK,4.0,22.45,0.0
4,Setford,Arsenal,GK,3.9,22.45,357.28290000000004
5,Gabriel,Arsenal,DEF,6.2,22.45,94.509375
6,Saliba,Arsenal,DEF,5.9,22.45,388.9235444444444
7,Calafiori,Arsenal,DEF,5.7,22.45,397.04935555555556
8,J.Timber,Arsenal,DEF,6.5,22.45,403.2989333333333
9,Kiwior,Arsenal,DEF,5.4,22.45,0.0
10,Lewis-Skelly,Arsenal,DEF,5.1,22.45,340.25703999999996
11,White,Arsenal,DEF,5.2,22.45,0.0
13,Clarke,Arsenal,DEF,3.8,22.45,337.47975
14,Kacurri,Arsenal,DEF,3.9,22.45,0.0
15,Nichols,Arsenal,DEF,3.8,22.45,337.41089999999997
16,Saka,Arsenal,MID,10.3,13.11,386.67876000000007
17,Ødegaard,Arsenal,MID,7.8,13.11,357.1082666666666
18,Madueke,Arsenal,MID,6.8,13.11,350.5406666666667
19,Martinelli,Arsenal,MID,6.8,13.11,263.87946
20,Trossard,Arsenal,MID,6.9,13.11,356.9384
21,Rice,Arsenal,MID,7.2,13.11,383.44037333333335
22,Merino,Arsenal,MID,5.9,13.11,339.00633
23,Fábio Vieira,Arsenal,MID,5.4,13.11,0.0
24,Nørgaard,Arsenal,MID,5.2,13.11,344.0034
25,Nwaneri,Arsenal,MID,5.1,13.11,309.60306
26,Zubimendi,Arsenal,MID,5.2,13.11,355.97796000000005
28,Kabia,Arsenal,MID,4.5,13.11,0.0
29,Sambi,Arsenal,MID,4.5,13.11,0.0
30,Havertz,Arsenal,FWD,7.3,10.0,0.0
31,G.Jesus,Arsenal,FWD,6.4,10.0,346.5751466666666
266,Eze,Arsenal,MID,7.6,13.11,318.51105000000007
662,Mosquera,Arsenal,DEF,5.4,22.45,0.0
666,Gyökeres,Arsenal,FWD,8.8,10.0,357.91236000000004
700,Dowman,Arsenal,MID,4.3,13.11,0.0
711,Harriman-Annous,Arsenal,MID,4.5,13.11,309.582
725,Hincapie,Arsenal,DEF,5.5,22.45,308.839
759,Salmon,Arsenal,DEF,4.0,22.45,337.36500000000007
32,Martinez,Aston Villa,GK,5.0,20.74,418.36039999999997
33,M.Bizot,Aston Villa,GK,4.2,20.74,359.95392000000004
34,Gauci,Aston Villa,GK,4.0,20.74,0.0
35,Marschall,Aston Villa,GK,4.0,20.74,0.0
36,Cash,Aston Villa,DEF,4.9,20.74,407.5778333333334
37,Digne,Aston Villa,DEF,4.5,20.74,389.1828888888889
38,Konsa,Aston Villa,DEF,4.4,20.74,396.32515555555557
39,Maatsen,Aston Villa,DEF,4.2,20.74,344.9793
40,Mings,Aston Villa,DEF,4.3,20.74,0.0
41,Pau,Aston Villa,DEF,4.3,20.74,0.0
42,A.García,Aston Villa,DEF,3.9,20.74,374.90099999999995
43,Alex Moreno,Aston Villa,DEF,4.0,20.74,0.0
44,Bogarde,Aston Villa,DEF,4.0,20.74,379.1697
45,Sousa,Aston Villa,DEF,3.9,20.74,337.43385
46,Yasin,Aston Villa,DEF,4.0,20.74,0.0
47,Rogers,Aston Villa,MID,7.3,12.69,401.5777133333333
48,Tielemans,Aston Villa,MID,5.9,12.69,361.98829333333333
49,Bailey,Aston Villa,MID,5.5,12.69,0.0
50,Buendía,Aston Villa,MID,5.3,12.69,356.8170666666666
51,Iling Jr,Aston Villa,MID,5.5,12.69,0.0
53,Malen,Aston Villa,MID,5.1,12.69,323.5171680000001
54,McGinn,Aston Villa,MID,5.4,12.69,331.52519400000006
55,Barkley,Aston Villa,MID,4.8,12.69,0.0
56,Barrenechea,Aston Villa,MID,5.0,12.69,0.0
57,Dobbin,Aston Villa,MID,5.0,12.69,0.0
58,Kamara,Aston Villa,MID,4.9,12.69,377.25792
59,Onana,Aston Villa,MID,4.8,12.69,369.66106666666667
60,Broggio,Aston Villa,MID,4.5,12.69,309.64518000000004
61,Dendoncker,Aston Villa,MID,4.5,12.69,0.0
62,Jimoh-Aloba,Aston Villa,MID,4.5,12.69,309.60306
63,Young,Aston Villa,MID,4.3,12.69,309.72942
64,Watkins,Aston Villa,FWD,8.5,10.0,378.9766933333334
65,Redmond,Aston Villa,FWD,4.5,10.0,0.0
389,Elliott,Aston Villa,MID,5.2,12.69,258.0201
456,Sancho,Aston Villa,MID,5.8,12.69,346.5751466666666
677,Guessand,Aston Villa,MID,6.2,12.69,0.0
688,Wright,Aston Villa,GK,3.9,20.74,357.3558
701,Rowe,Aston Villa,DEF,4.0,20.74,0.0
702,Burrowes,Aston Villa,MID,4.4,12.69,309.60306
703,Proctor,Aston Villa,GK,3.9,20.74,357.3558
710,Patterson,Aston Villa,DEF,3.9,20.74,337.41089999999997
719,Lindelöf,Aston Villa,DEF,4.5,20.74,384.5944944444444
754,George Hemmings,Aston Villa,MID,4.5,12.69,309.582
757,Hollingshead,Aston Villa,GK,4.0,20.74,357.21000000000004
